id,carat,cut,color,clarity,depth,table,x,y,z,price
5993,1.4,Premium,G,SI2,,60.0,7.1,7.16,4.42,7225
7566,1.54,Ideal,J,VS1,62.2,59.0,7.34,7.38,4.58,8848
3288,0.3,Very Good,E,SI2,61.7,61.0,4.28,4.31,2.65,421
6528,0.82,Good,F,VS2,,62.2,5.97,6.04,3.66,3363
20767,1.04,Ideal,G,VS2,61.9,57.0,6.5,6.46,4.01,6290
22402,0.27,Ideal,E,VS1,61.6,57.0,4.12,4.16,2.55,470
21615,0.4,Premium,G,VS2,60.4,58.0,4.78,4.75,2.88,966
22848,0.56,Very Good,H,SI1,61.3,60.0,5.23,5.28,3.22,1197
21787,0.31,Ideal,E,VS2,60.9,57.0,4.36,4.38,2.66,745
13215,0.41,Premium,F,SI2,60.3,58.0,4.86,4.82,2.92,907
18551,0.65,Ideal,D,VVS1,61.8,57.0,5.54,5.56,3.43,4022
10587,0.7,Ideal,G,SI1,61.9,58.0,5.66,5.69,3.51,2567
3101,1.0,Fair,H,SI1,67.6,59.0,6.03,5.95,4.05,4665
20563,1.01,Very Good,G,SI2,61.0,58.0,6.43,6.48,3.94,4249
9306,0.42,Premium,D,SI1,61.9,59.0,4.81,4.76,2.96,1040
7552,1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,4454
2516,1.09,Very Good,G,VS1,62.5,59.0,6.54,6.57,4.1,6827
20725,0.61,Premium,H,SI1,59.5,62.0,5.55,5.51,3.29,1382
24862,0.41,Premium,E,VS1,62.8,58.0,4.72,4.7,2.96,1153
18825,0.93,Ideal,H,VS2,61.5,57.0,6.3,6.26,3.86,4218
2530,1.27,Premium,J,SI2,60.4,58.0,7.04,7.0,4.24,4660
15922,1.21,Premium,F,VS1,60.1,58.0,6.98,6.89,4.17,9448
11547,1.51,Ideal,G,SI2,61.8,57.0,7.37,7.31,4.54,7103
13391,2.05,Very Good,G,SI1,63.4,58.0,8.03,7.96,5.07,12515
23734,0.34,Ideal,D,I1,61.4,55.0,4.5,4.52,2.77,413
12672,1.9,Premium,F,SI2,62.9,61.0,7.78,7.73,4.88,12812
15862,0.57,Premium,G,VVS2,60.2,60.0,5.44,5.36,3.25,2059
7015,0.42,Ideal,F,VS1,61.4,57.0,4.78,4.83,2.95,1031
21800,0.91,Good,F,SI1,63.7,58.0,6.1,6.17,3.91,3993
18881,0.3,Premium,G,VVS1,61.3,58.0,4.33,4.29,2.64,945
679,0.5,Ideal,D,VS2,61.9,59.0,5.07,5.1,3.15,1712
15708,1.19,Ideal,I,SI1,62.3,55.0,6.8,6.82,4.24,5690
1411,0.57,Premium,E,VS2,62.2,59.0,5.29,5.26,3.28,2274
22317,0.31,Premium,G,VVS1,62.5,57.0,4.4,4.3,2.72,1046
1171,1.06,Ideal,F,SI1,61.7,55.1,6.56,6.58,4.06,6249
7099,1.07,Ideal,E,VVS2,61.3,56.0,6.53,6.6,4.02,10222
26964,0.33,Ideal,H,IF,61.9,55.0,4.44,4.42,2.74,1114
2445,0.93,Premium,F,SI1,62.5,58.0,6.19,6.22,3.88,4081
8079,1.24,Ideal,G,VS1,61.1,57.0,6.98,6.91,4.24,8449
23600,0.32,Ideal,D,SI1,61.3,55.0,4.39,4.42,2.7,589
11570,0.9,Very Good,G,SI2,63.1,59.0,6.11,6.16,3.87,3353
20912,2.02,Very Good,J,VS2,59.3,60.0,8.28,8.34,4.93,13693
3713,0.73,Fair,I,VS1,55.9,66.0,6.11,6.01,3.39,2330
15871,0.82,Very Good,E,SI1,63.2,57.0,5.92,5.97,3.76,2741
11373,0.72,Very Good,E,VS2,59.8,57.0,5.84,5.89,3.51,3270
22672,1.0,Premium,F,SI2,61.7,57.0,6.42,6.35,3.94,3853
26557,1.07,Ideal,H,SI2,61.0,55.0,6.62,6.65,4.05,4604
4025,0.38,Premium,H,VVS2,62.0,58.0,4.62,4.64,2.87,833
9493,1.09,Ideal,J,VS2,62.0,54.0,6.64,6.61,4.11,4361
1233,1.01,Good,E,SI1,63.1,60.0,6.34,6.37,4.01,4912
6788,0.3,Good,H,VVS2,63.6,56.0,4.26,4.29,2.72,605
21214,1.52,Premium,H,VS1,61.4,58.0,7.44,7.3,4.55,11621
22762,1.55,Very Good,G,SI2,61.9,60.0,7.31,7.36,4.54,8873
978,1.13,Very Good,G,SI1,63.1,58.0,6.65,6.59,4.18,5526
1104,1.51,Fair,H,VS2,57.4,61.0,7.49,7.63,4.34,9678
25545,1.21,Ideal,G,VVS1,61.4,58.0,6.85,6.89,4.22,10483
6796,0.7,Ideal,J,VS2,61.5,57.0,5.7,5.74,3.52,1971
19992,1.53,Ideal,I,SI2,62.4,58.0,7.31,7.37,4.58,7678
12794,1.02,Premium,H,SI2,58.3,59.0,6.61,6.57,3.84,3313
11765,0.7,Very Good,D,SI2,60.9,60.0,5.68,5.72,3.47,1990
21693,1.51,Very Good,G,SI2,62.8,56.0,7.22,7.3,4.56,8637
18635,1.14,Ideal,H,SI1,61.8,56.0,6.68,6.72,4.14,7079
14393,1.08,Ideal,H,SI1,62.8,57.0,6.55,6.51,4.1,4964
2448,1.01,Premium,E,SI2,60.4,60.0,6.46,6.49,3.91,4790
3731,0.32,Good,D,IF,57.8,56.0,4.55,4.65,2.66,1252
25700,0.39,Ideal,F,VVS1,61.8,55.0,4.69,4.73,2.91,1124
20514,0.53,Ideal,F,VS1,,55.0,5.24,5.21,3.22,1740
2123,0.81,Very Good,F,SI1,61.7,57.0,6.0,6.05,3.72,2858
4863,1.2,Very Good,F,VS2,61.8,58.0,6.75,6.78,4.18,9007
11433,1.0,Good,F,SI1,64.1,60.0,6.25,6.19,3.99,4586
4441,0.41,Ideal,E,VS1,,56.0,4.78,4.75,2.96,1153
1775,1.01,Very Good,H,SI1,59.3,62.0,6.57,6.55,3.89,4868
22778,1.21,Ideal,G,VS1,62.7,54.0,6.8,6.82,4.27,9323
24989,1.51,Fair,F,I1,67.8,59.0,7.09,7.0,4.78,3734
18522,0.32,Premium,H,SI1,62.0,58.0,4.38,4.39,2.72,461
19363,0.58,Ideal,G,SI2,61.5,55.0,5.38,5.42,3.32,1276
17281,0.51,Ideal,D,SI2,61.9,56.0,5.15,5.1,3.17,1359
19376,0.24,Very Good,F,VVS2,61.8,56.0,4.01,4.04,2.48,608
4978,1.09,Ideal,H,SI1,62.1,55.0,6.6,6.64,4.11,5376
5120,0.32,Ideal,F,VVS2,60.8,58.0,4.39,4.43,2.68,837
6819,0.7,Very Good,F,VVS2,58.5,60.0,5.82,5.94,3.44,3028
11360,0.51,Ideal,F,VS2,62.0,56.0,5.11,5.14,3.18,1595
15351,0.33,Premium,G,VVS2,61.3,59.0,4.45,4.42,2.72,927
2919,0.3,Very Good,H,VVS2,60.8,58.0,4.34,4.37,2.65,605
18454,1.2,Very Good,J,VS1,63.1,59.0,6.75,6.65,4.23,5376
26891,0.42,Ideal,H,SI1,62.7,56.0,4.76,4.78,2.99,700
19813,1.14,Very Good,I,SI1,63.5,56.0,6.62,6.58,4.19,4788
4859,0.5,Very Good,F,SI1,62.3,60.0,5.07,5.11,3.17,1250
14837,1.01,Good,E,I1,61.5,65.0,6.28,6.21,3.84,3484
17949,0.54,Premium,H,VS2,61.9,55.0,5.25,5.22,3.24,1389
562,0.91,Ideal,J,VS1,61.9,56.0,6.19,6.22,3.85,3863
13072,0.31,Very Good,H,VS1,61.4,61.0,4.33,4.36,2.67,544
6907,1.52,Ideal,G,VS2,61.1,57.0,7.39,7.45,4.53,12840
4385,0.32,Ideal,F,IF,62.5,54.0,4.38,4.42,2.75,943
2349,0.31,Ideal,F,IF,61.6,56.0,4.35,4.38,2.69,901
6719,0.36,Ideal,E,SI1,61.4,57.0,4.59,4.56,2.81,810
4572,0.33,Very Good,G,VS1,61.0,57.0,4.46,4.49,2.72,652
23271,0.31,Premium,H,SI1,62.4,60.0,4.34,4.32,2.7,573
20232,0.9,Very Good,F,SI2,63.0,56.0,6.09,6.16,3.86,3368
15202,0.41,Very Good,G,VS2,60.5,56.0,4.81,4.85,2.92,834
24096,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
24371,0.41,Ideal,F,VS2,61.8,56.0,4.8,4.78,2.96,1107
19159,0.34,Premium,D,VS2,62.1,58.0,4.5,4.45,2.78,1033
24041,0.5,Good,H,VS2,56.3,65.0,5.21,5.24,2.94,1239
6322,0.7,Ideal,H,SI1,61.4,57.0,5.64,5.76,3.5,2240
9939,1.07,Premium,I,SI1,61.2,58.0,6.62,6.55,4.03,4126
10885,0.53,Ideal,F,VS1,60.7,55.0,5.32,5.25,3.21,1697
1846,0.31,Very Good,H,VVS2,61.2,60.0,4.37,4.39,2.68,625
23655,0.31,Ideal,E,VS2,62.4,54.0,4.35,4.31,2.7,872
13790,1.0,Good,F,SI2,63.8,58.0,6.28,6.33,4.02,4081
9338,0.32,Ideal,D,VS2,61.5,56.0,4.44,4.41,2.72,972
25338,1.27,Premium,G,VS2,61.0,60.0,6.93,6.97,4.24,8549
15822,0.43,Very Good,F,SI1,62.9,60.0,4.77,4.8,3.01,792
19004,0.55,Ideal,D,SI1,60.6,56.0,5.32,5.27,3.21,1819
23848,0.54,Ideal,G,VS1,62.2,56.0,5.19,5.23,3.24,1637
9166,1.7,Very Good,J,SI1,59.1,61.0,7.79,7.85,4.62,7713
17674,0.4,Ideal,H,VVS1,62.0,54.0,4.72,4.76,2.94,1017
24880,0.3,Ideal,D,VS2,62.3,56.0,4.32,4.29,2.68,911
21476,0.36,Ideal,F,VS2,60.9,57.0,4.61,4.58,2.8,932
15212,0.6,Ideal,E,SI1,61.5,56.0,5.51,5.39,3.35,1830
22069,1.51,Good,H,SI1,61.8,61.0,7.25,7.32,4.5,9218
20856,0.54,Ideal,D,VS2,60.0,56.0,5.39,5.28,3.2,2177
19268,0.32,Premium,I,SI1,61.1,59.0,4.38,4.42,2.69,421
13563,1.0,Premium,D,VS1,62.7,60.0,6.36,6.31,3.97,8020
12830,1.08,Ideal,G,VS2,62.5,57.0,6.56,6.6,4.11,6561
15359,2.01,Very Good,I,VS1,64.4,56.0,7.84,7.9,5.07,16811
8032,1.06,Premium,F,VS2,61.8,60.0,6.58,6.53,4.05,6673
5115,0.7,Very Good,H,SI2,63.8,59.0,5.6,5.63,3.58,1807
22852,0.41,Very Good,E,VVS1,59.8,62.0,4.79,4.84,2.88,1057
26616,0.25,Very Good,F,VVS1,60.7,59.0,4.07,4.1,2.48,576
10406,0.7,Premium,G,SI1,58.6,62.0,5.83,5.8,3.41,2375
17085,0.7,Good,G,VVS1,58.5,62.0,5.8,5.82,3.4,3380
9699,0.24,Very Good,D,VS1,62.9,56.0,3.96,3.99,2.5,419
14509,1.01,Fair,D,SI1,65.0,57.0,6.3,6.22,4.07,5385
24287,0.54,Ideal,G,VS1,61.4,57.0,5.23,5.2,3.2,1684
16636,1.19,Premium,E,VS1,59.8,58.0,7.01,6.94,4.17,9263
19225,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1757
17688,0.4,Ideal,F,VS1,62.7,55.0,4.74,4.76,2.98,982
20614,1.01,Fair,E,SI2,57.1,59.0,6.65,6.69,3.81,4600
18781,2.01,Premium,I,SI1,61.5,60.0,8.12,8.01,4.96,16499
13584,1.02,Ideal,F,SI1,62.3,56.0,6.41,6.44,4.0,5773
16299,0.7,Premium,F,SI2,61.8,60.0,5.65,5.71,3.51,2213
20812,1.25,Premium,F,VS2,60.8,58.0,6.98,6.93,4.23,9702
24228,2.05,Ideal,J,VS2,61.7,54.9,8.16,8.24,5.05,14111
16838,0.36,Very Good,D,SI2,63.0,59.0,4.49,4.52,2.84,501
22195,1.13,Ideal,I,SI1,61.4,57.0,6.72,6.69,4.12,4936
16450,0.76,Ideal,H,VS2,61.4,57.0,5.85,5.88,3.6,3038
20186,0.31,Ideal,D,SI1,61.9,57.0,4.36,4.33,2.69,732
18294,0.28,Ideal,E,VVS2,62.1,56.0,4.21,4.19,2.61,828
6740,0.74,Very Good,H,SI2,62.1,58.0,5.82,5.78,3.6,2222
13323,1.07,Very Good,J,VVS2,60.0,60.0,6.57,6.59,3.95,5661
2061,0.33,Ideal,H,VVS1,62.5,56.0,4.44,4.42,2.77,901
12923,0.7,Premium,E,SI1,62.0,60.0,5.72,5.67,3.53,2444
25395,0.7,Ideal,G,VVS2,59.9,58.0,5.78,5.8,3.47,3234
15007,1.1,Ideal,H,SI2,62.0,55.0,6.61,6.65,4.11,4733
18282,0.4,Premium,D,SI2,61.9,58.0,4.73,4.71,2.92,855
7555,0.65,Very Good,G,VVS2,61.3,59.0,5.51,5.61,3.41,2178
15750,0.57,Ideal,F,VVS2,61.6,57.0,5.32,5.36,3.29,2322
24323,0.83,Ideal,D,SI1,61.3,56.0,6.04,6.06,3.71,3990
8070,0.39,Premium,J,VS1,61.0,62.0,4.71,4.66,2.86,790
25518,0.3,Ideal,F,VVS1,61.9,57.0,4.3,4.32,2.67,776
16572,0.5,Premium,D,VVS1,61.5,58.0,5.12,5.06,3.13,2525
21937,1.56,Good,J,VS2,57.6,65.0,7.6,7.62,4.38,6966
2532,1.7,Premium,F,SI2,61.8,60.0,7.64,7.56,4.7,10377
19623,0.47,Very Good,F,VVS2,62.1,56.0,4.96,4.99,3.09,1616
13107,0.38,Premium,I,VS1,59.9,60.0,4.66,4.72,2.81,700
4318,0.72,Ideal,F,VVS1,62.0,56.0,5.73,5.75,3.56,4252
1068,0.5,Very Good,G,SI1,60.0,63.0,5.1,5.06,3.05,1286
249,0.44,Good,E,VS2,59.0,64.0,5.01,4.94,2.93,1001
1957,0.32,Ideal,G,VVS1,62.4,55.0,4.38,4.37,2.73,1080
18115,1.51,Very Good,F,VS2,62.5,58.0,7.21,7.36,4.55,14165
4448,1.5,Ideal,G,VS1,61.0,57.0,7.32,7.4,4.49,12576
10857,0.59,Very Good,I,SI1,62.8,59.0,5.34,5.36,3.36,1109
1885,0.3,Premium,G,VS1,62.0,60.0,4.28,4.23,2.64,776
16944,1.2,Ideal,G,VS2,59.9,61.0,6.85,6.88,4.11,8321
20258,0.42,Ideal,D,VS2,62.6,56.0,4.76,4.8,2.99,948
23414,0.32,Good,F,SI2,63.1,56.0,4.34,4.38,2.75,421
25851,2.03,Very Good,E,SI2,58.8,59.0,8.23,8.28,4.85,18115
22621,1.53,Ideal,H,SI2,59.6,57.0,7.46,7.38,4.42,5631
19382,0.31,Premium,H,VVS1,63.0,58.0,4.37,4.33,2.74,907
25904,0.32,Ideal,H,VS1,60.2,56.0,4.44,4.49,2.69,561
22517,0.42,Ideal,F,VS1,60.9,57.0,4.88,4.84,2.96,1103
8182,0.71,Ideal,E,SI1,62.0,56.0,5.77,5.72,3.56,2329
120,2.02,Very Good,J,SI2,62.4,55.0,8.05,8.11,5.04,11757
8678,0.31,Premium,G,VS1,62.4,59.0,4.34,4.32,2.7,802
6429,0.31,Ideal,E,VS2,61.5,56.0,4.37,4.34,2.68,872
23538,1.69,Ideal,I,VS2,,56.0,7.74,7.77,4.69,13645
18275,0.32,Ideal,G,VVS2,61.5,57.0,4.43,4.39,2.71,936
19716,0.4,Premium,G,VS2,61.9,58.0,4.74,4.76,2.94,753
428,0.9,Good,I,SI2,60.9,63.0,6.13,6.21,3.76,2680
17963,0.4,Premium,G,VVS1,60.3,58.0,4.83,4.79,2.9,1155
1002,0.9,Good,E,VS1,62.7,58.0,6.07,6.12,3.82,5201
8954,1.14,Premium,D,SI2,62.4,58.0,6.67,6.7,4.17,4513
11879,0.35,Ideal,J,IF,61.8,55.0,4.54,4.56,2.81,569
9728,0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,554
1949,1.0,Very Good,F,SI2,61.6,62.0,6.3,6.37,3.9,4255
210,0.33,Ideal,F,VS2,61.3,56.0,4.43,4.47,2.73,666
10742,0.72,Premium,E,VS2,62.5,59.0,5.73,5.7,3.57,3024
6439,1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,5506
574,0.31,Ideal,G,VVS1,61.8,54.0,4.39,4.41,2.72,789
13094,0.74,Ideal,F,VS2,60.5,59.0,5.81,5.86,3.53,2936
8710,0.53,Very Good,G,VS2,60.1,59.0,5.22,5.26,3.15,1449
18776,1.0,Premium,H,SI2,62.7,58.0,6.33,6.31,3.96,4200
1750,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,11971
23940,0.42,Ideal,D,VVS2,62.1,55.0,4.81,4.79,2.98,1389
6426,1.0,Very Good,I,SI1,60.4,63.0,6.44,6.37,3.87,4032
17370,0.72,Ideal,H,VS2,61.7,57.0,5.74,5.77,3.55,2594
14735,0.4,Premium,E,SI1,,59.0,4.69,4.64,2.93,945
12998,1.04,Premium,G,SI2,62.9,58.0,6.47,6.43,4.06,4277
13928,0.71,Very Good,D,SI1,63.2,56.0,5.69,5.73,3.61,2652
11707,0.33,Premium,E,VS2,61.0,60.0,4.42,4.47,2.71,723
18463,0.56,Ideal,E,SI1,61.3,56.0,5.28,5.32,3.25,1405
4316,0.32,Good,G,VS2,56.7,64.0,4.52,4.55,2.57,603
18756,0.7,Very Good,I,VVS1,60.9,60.0,5.68,5.71,3.47,2421
3011,0.3,Very Good,G,VVS2,61.3,58.0,4.28,4.34,2.64,684
7052,1.3,Ideal,F,SI2,62.2,56.0,7.0,6.96,4.34,6559
3174,0.71,Premium,D,SI2,62.8,57.0,5.69,5.64,3.56,2368
21285,1.06,Premium,F,SI2,62.6,59.0,6.51,6.47,4.06,3901
23095,1.68,Ideal,G,VS1,62.0,55.0,7.59,7.66,4.73,16985
5851,0.52,Ideal,H,IF,62.1,57.0,5.13,5.16,3.19,1956
25889,0.91,Ideal,G,VS1,61.3,56.0,6.28,6.21,3.83,4029
26543,0.5,Ideal,G,VS2,62.6,57.0,5.11,5.05,3.18,1424
18168,0.44,Ideal,G,VVS1,60.3,57.0,4.92,4.96,2.98,1207
14981,0.7,Good,G,VS2,63.8,55.0,5.66,5.59,3.59,2496
9600,0.4,Premium,E,VVS1,61.4,59.0,4.74,4.68,2.89,1397
20694,1.51,Very Good,G,SI2,63.2,55.0,7.32,7.27,4.61,8574
17513,1.5,Good,I,VS2,61.9,60.0,7.25,7.28,4.5,8316
12381,0.52,Ideal,E,VS2,59.5,57.0,5.25,5.27,3.13,1689
9378,0.35,Very Good,H,SI1,60.0,61.0,4.57,4.6,2.75,491
9260,0.24,Very Good,F,VVS2,62.5,56.0,3.98,4.02,2.5,478
22157,1.0,Premium,E,VS2,63.0,58.0,6.25,6.22,3.93,7168
21674,0.37,Premium,F,SI1,60.3,58.0,4.62,4.66,2.8,616
7273,0.72,Ideal,E,SI1,62.6,56.0,5.7,5.73,3.58,2907
20470,0.33,Ideal,G,VS1,61.4,54.0,4.48,4.44,2.74,854
19784,0.32,Very Good,D,SI1,63.1,57.0,4.38,4.37,2.76,756
13477,0.69,Premium,H,SI1,62.8,58.0,5.65,5.62,3.54,1822
18059,0.31,Ideal,F,SI1,60.5,57.0,4.4,4.43,2.67,516
664,0.71,Premium,I,VS1,61.9,58.0,5.76,5.71,3.55,2104
7116,0.33,Ideal,G,VS1,62.1,55.0,4.46,4.43,2.76,854
17662,0.3,Ideal,G,SI2,62.5,56.0,4.28,4.3,2.68,382
6816,0.32,Ideal,F,VS2,61.9,56.0,4.39,4.37,2.71,828
609,0.42,Very Good,G,VS1,59.4,59.0,4.86,4.9,2.9,921
20583,0.32,Ideal,D,VVS1,61.8,56.0,4.39,4.41,2.72,1067
19614,1.0,Premium,D,SI1,61.3,54.0,6.39,6.37,3.91,5488
4882,1.01,Very Good,D,VVS2,62.5,59.0,6.34,6.4,3.98,10453
21695,1.01,Premium,G,SI1,60.8,60.0,6.47,6.39,3.91,5090
16746,0.9,Ideal,I,VS1,60.9,60.0,6.2,6.24,3.79,4492
20458,1.62,Premium,G,VS1,60.7,58.0,7.62,7.54,4.6,14447
25670,1.07,Very Good,F,VS1,62.0,58.0,6.57,6.59,4.08,7118
4199,0.3,Ideal,G,IF,62.1,54.0,4.3,4.33,2.68,863
13371,0.5,Good,D,SI1,63.2,59.0,5.02,5.04,3.18,1395
7471,0.3,Ideal,G,IF,62.0,54.4,4.3,4.32,2.67,830
25355,0.5,Premium,D,SI2,62.9,58.0,5.06,5.01,3.17,997
9369,0.31,Ideal,H,VVS1,61.5,54.0,4.39,4.36,2.69,907
23611,0.73,Ideal,H,VS2,61.0,56.0,5.83,5.88,3.57,3164
16624,0.54,Ideal,G,IF,61.5,55.0,5.24,5.3,3.23,2289
2256,0.9,Premium,F,SI1,61.7,62.0,6.19,6.13,3.8,3936
